Year-Month,Keyword,Frequency,FEDFUNDS
2007-03,interest,7,5.25
2007-03,inflation,0,5.25
2007-03,unemployment,1,5.25
2007-03,credit,19,5.25
2007-03,market,45,5.25
2007-03,trade,2,5.25
2007-04,interest,0,5.25
2007-04,inflation,2,5.25
2007-04,unemployment,0,5.25
2007-04,credit,17,5.25
2007-04,market,26,5.25
2007-04,trade,2,5.25
2007-06,interest,4,5.26
2007-06,inflation,5,5.26
2007-06,unemployment,3,5.26
2007-06,credit,16,5.26
2007-06,market,53,5.26
2007-06,trade,2,5.26
2007-07,interest,4,5.02
2007-07,inflation,2,5.02
2007-07,unemployment,1,5.02
2007-07,credit,16,5.02
2007-07,market,37,5.02
2007-07,trade,2,5.02
2007-09,interest,5,4.76
2007-09,inflation,1,4.76
2007-09,unemployment,0,4.76
2007-09,credit,48,4.76
2007-09,market,48,4.76
2007-09,trade,1,4.76
2007-10,interest,1,4.49
2007-10,inflation,3,4.49
2007-10,unemployment,3,4.49
2007-10,credit,34,4.49
2007-10,market,34,4.49
2007-10,trade,3,4.49
2007-11,interest,0,4.24
2007-11,inflation,0,4.24
2007-11,unemployment,0,4.24
2007-11,credit,3,4.24
2007-11,market,1,4.24
2007-11,trade,1,4.24
2008-01,interest,2,2.98
2008-01,inflation,2,2.98
2008-01,unemployment,0,2.98
2008-01,credit,35,2.98
2008-01,market,32,2.98
2008-01,trade,4,2.98
2008-03,interest,5,2.28
2008-03,inflation,1,2.28
2008-03,unemployment,1,2.28
2008-03,credit,48,2.28
2008-03,market,30,2.28
2008-03,trade,1,2.28
2008-04,interest,8,1.98
2008-04,inflation,1,1.98
2008-04,unemployment,1,1.98
2008-04,credit,32,1.98
2008-04,market,24,1.98
2008-04,trade,1,1.98
2008-06,interest,3,2.01
2008-06,inflation,1,2.01
2008-06,unemployment,1,2.01
2008-06,credit,36,2.01
2008-06,market,24,2.01
2008-06,trade,2,2.01
2008-07,interest,5,2.0
2008-07,inflation,2,2.0
2008-07,unemployment,0,2.0
2008-07,credit,32,2.0
2008-07,market,38,2.0
2008-07,trade,3,2.0
2008-09,interest,5,0.97
2008-09,inflation,2,0.97
2008-09,unemployment,2,0.97
2008-09,credit,39,0.97
2008-09,market,39,0.97
2008-09,trade,1,0.97
2008-10,interest,6,0.39
2008-10,inflation,0,0.39
2008-10,unemployment,2,0.39
2008-10,credit,73,0.39
2008-10,market,35,0.39
2008-10,trade,3,0.39
2008-12,interest,4,0.15
2008-12,inflation,0,0.15
2008-12,unemployment,3,0.15
2008-12,credit,69,0.15
2008-12,market,32,0.15
2008-12,trade,2,0.15
2009-01,interest,13,0.22
2009-01,inflation,0,0.22
2009-01,unemployment,1,0.22
2009-01,credit,48,0.22
2009-01,market,31,0.22
2009-01,trade,4,0.22
2009-03,interest,5,0.15
2009-03,inflation,0,0.15
2009-03,unemployment,2,0.15
2009-03,credit,46,0.15
2009-03,market,35,0.15
2009-03,trade,1,0.15
2009-04,interest,8,0.18
2009-04,inflation,0,0.18
2009-04,unemployment,5,0.18
2009-04,credit,56,0.18
2009-04,market,33,0.18
2009-04,trade,3,0.18
2009-06,interest,11,0.16
2009-06,inflation,0,0.16
2009-06,unemployment,2,0.16
2009-06,credit,44,0.16
2009-06,market,35,0.16
2009-06,trade,4,0.16
2009-07,interest,3,0.16
2009-07,inflation,0,0.16
2009-07,unemployment,5,0.16
2009-07,credit,43,0.16
2009-07,market,29,0.16
2009-07,trade,5,0.16
2009-09,interest,4,0.12
2009-09,inflation,0,0.12
2009-09,unemployment,2,0.12
2009-09,credit,49,0.12
2009-09,market,25,0.12
2009-09,trade,2,0.12
2009-10,interest,7,0.12
2009-10,inflation,2,0.12
2009-10,unemployment,5,0.12
2009-10,credit,50,0.12
2009-10,market,21,0.12
2009-10,trade,1,0.12
2009-12,interest,4,0.11
2009-12,inflation,0,0.11
2009-12,unemployment,6,0.11
2009-12,credit,49,0.11
2009-12,market,26,0.11
2009-12,trade,4,0.11
2010-01,interest,6,0.13
2010-01,inflation,0,0.13
2010-01,unemployment,3,0.13
2010-01,credit,47,0.13
2010-01,market,21,0.13
2010-01,trade,1,0.13
2010-03,interest,5,0.2
2010-03,inflation,0,0.2
2010-03,unemployment,4,0.2
2010-03,credit,46,0.2
2010-03,market,18,0.2
2010-03,trade,1,0.2
2010-04,interest,4,0.2
2010-04,inflation,0,0.2
2010-04,unemployment,2,0.2
2010-04,credit,52,0.2
2010-04,market,21,0.2
2010-04,trade,4,0.2
2010-06,interest,5,0.18
2010-06,inflation,0,0.18
2010-06,unemployment,3,0.18
2010-06,credit,43,0.18
2010-06,market,23,0.18
2010-06,trade,3,0.18
2010-07,interest,4,0.19
2010-07,inflation,0,0.19
2010-07,unemployment,3,0.19
2010-07,credit,36,0.19
2010-07,market,29,0.19
2010-07,trade,3,0.19
2010-09,interest,5,0.19
2010-09,inflation,0,0.19
2010-09,unemployment,4,0.19
2010-09,credit,48,0.19
2010-09,market,25,0.19
2010-09,trade,4,0.19
2010-10,interest,4,0.19
2010-10,inflation,0,0.19
2010-10,unemployment,3,0.19
2010-10,credit,30,0.19
2010-10,market,19,0.19
2010-10,trade,4,0.19
2010-12,interest,4,0.17
2010-12,inflation,1,0.17
2010-12,unemployment,3,0.17
2010-12,credit,38,0.17
2010-12,market,26,0.17
2010-12,trade,5,0.17
2011-01,interest,11,0.16
2011-01,inflation,0,0.16
2011-01,unemployment,0,0.16
2011-01,credit,29,0.16
2011-01,market,28,0.16
2011-01,trade,1,0.16
2011-03,interest,10,0.1
2011-03,inflation,0,0.1
2011-03,unemployment,3,0.1
2011-03,credit,39,0.1
2011-03,market,30,0.1
2011-03,trade,2,0.1
2011-04,interest,6,0.09
2011-04,inflation,2,0.09
2011-04,unemployment,3,0.09
2011-04,credit,28,0.09
2011-04,market,33,0.09
2011-04,trade,2,0.09
2011-06,interest,5,0.07
2011-06,inflation,1,0.07
2011-06,unemployment,1,0.07
2011-06,credit,40,0.07
2011-06,market,34,0.07
2011-06,trade,4,0.07
2011-07,interest,4,0.1
2011-07,inflation,0,0.1
2011-07,unemployment,4,0.1
2011-07,credit,30,0.1
2011-07,market,28,0.1
2011-07,trade,2,0.1
2011-09,interest,4,0.07
2011-09,inflation,0,0.07
2011-09,unemployment,3,0.07
2011-09,credit,32,0.07
2011-09,market,36,0.07
2011-09,trade,2,0.07
2011-10,interest,10,0.08
2011-10,inflation,1,0.08
2011-10,unemployment,2,0.08
2011-10,credit,20,0.08
2011-10,market,28,0.08
2011-10,trade,3,0.08
2011-11,interest,9,0.07
2011-11,inflation,1,0.07
2011-11,unemployment,4,0.07
2011-11,credit,25,0.07
2011-11,market,23,0.07
2011-11,trade,2,0.07
2012-01,interest,6,0.1
2012-01,inflation,4,0.1
2012-01,unemployment,3,0.1
2012-01,credit,25,0.1
2012-01,market,34,0.1
2012-01,trade,2,0.1
2012-02,interest,12,0.13
2012-02,inflation,1,0.13
2012-02,unemployment,3,0.13
2012-02,credit,28,0.13
2012-02,market,35,0.13
2012-02,trade,2,0.13
2012-04,interest,8,0.16
2012-04,inflation,4,0.16
2012-04,unemployment,1,0.16
2012-04,credit,29,0.16
2012-04,market,23,0.16
2012-04,trade,3,0.16
2012-06,interest,5,0.16
2012-06,inflation,4,0.16
2012-06,unemployment,1,0.16
2012-06,credit,27,0.16
2012-06,market,30,0.16
2012-06,trade,2,0.16
2012-07,interest,11,0.13
2012-07,inflation,3,0.13
2012-07,unemployment,2,0.13
2012-07,credit,21,0.13
2012-07,market,22,0.13
2012-07,trade,2,0.13
2012-08,interest,10,0.14
2012-08,inflation,4,0.14
2012-08,unemployment,0,0.14
2012-08,credit,28,0.14
2012-08,market,30,0.14
2012-08,trade,1,0.14
2012-10,interest,6,0.16
2012-10,inflation,4,0.16
2012-10,unemployment,2,0.16
2012-10,credit,21,0.16
2012-10,market,30,0.16
2012-10,trade,2,0.16
2012-11,interest,7,0.16
2012-11,inflation,2,0.16
2012-11,unemployment,2,0.16
2012-11,credit,34,0.16
2012-11,market,27,0.16
2012-11,trade,2,0.16
2013-01,interest,6,0.15
2013-01,inflation,2,0.15
2013-01,unemployment,1,0.15
2013-01,credit,27,0.15
2013-01,market,29,0.15
2013-01,trade,4,0.15
2013-03,interest,20,0.15
2013-03,inflation,4,0.15
2013-03,unemployment,1,0.15
2013-03,credit,25,0.15
2013-03,market,36,0.15
2013-03,trade,1,0.15
2013-04,interest,9,0.11
2013-04,inflation,1,0.11
2013-04,unemployment,2,0.11
2013-04,credit,20,0.11
2013-04,market,29,0.11
2013-04,trade,6,0.11
2013-06,interest,9,0.09
2013-06,inflation,4,0.09
2013-06,unemployment,0,0.09
2013-06,credit,26,0.09
2013-06,market,35,0.09
2013-06,trade,2,0.09
2013-07,interest,12,0.08
2013-07,inflation,4,0.08
2013-07,unemployment,2,0.08
2013-07,credit,19,0.08
2013-07,market,24,0.08
2013-07,trade,3,0.08
2013-09,interest,22,0.09
2013-09,inflation,6,0.09
2013-09,unemployment,0,0.09
2013-09,credit,26,0.09
2013-09,market,23,0.09
2013-09,trade,1,0.09
2013-10,interest,17,0.08
2013-10,inflation,1,0.08
2013-10,unemployment,2,0.08
2013-10,credit,20,0.08
2013-10,market,32,0.08
2013-10,trade,2,0.08
2013-12,interest,7,0.07
2013-12,inflation,3,0.07
2013-12,unemployment,0,0.07
2013-12,credit,22,0.07
2013-12,market,24,0.07
2013-12,trade,6,0.07
2014-01,interest,6,0.07
2014-01,inflation,3,0.07
2014-01,unemployment,2,0.07
2014-01,credit,20,0.07
2014-01,market,25,0.07
2014-01,trade,4,0.07
2014-03,interest,6,0.09
2014-03,inflation,3,0.09
2014-03,unemployment,0,0.09
2014-03,credit,23,0.09
2014-03,market,18,0.09
2014-03,trade,4,0.09
2014-04,interest,3,0.09
2014-04,inflation,2,0.09
2014-04,unemployment,1,0.09
2014-04,credit,28,0.09
2014-04,market,29,0.09
2014-04,trade,3,0.09
2014-06,interest,5,0.09
2014-06,inflation,4,0.09
2014-06,unemployment,1,0.09
2014-06,credit,34,0.09
2014-06,market,35,0.09
2014-06,trade,4,0.09
2014-07,interest,2,0.09
2014-07,inflation,7,0.09
2014-07,unemployment,0,0.09
2014-07,credit,31,0.09
2014-07,market,26,0.09
2014-07,trade,5,0.09
2014-09,interest,5,0.09
2014-09,inflation,5,0.09
2014-09,unemployment,0,0.09
2014-09,credit,37,0.09
2014-09,market,32,0.09
2014-09,trade,5,0.09
2014-10,interest,8,0.09
2014-10,inflation,4,0.09
2014-10,unemployment,1,0.09
2014-10,credit,26,0.09
2014-10,market,33,0.09
2014-10,trade,4,0.09
2014-12,interest,7,0.11
2014-12,inflation,7,0.11
2014-12,unemployment,1,0.11
2014-12,credit,30,0.11
2014-12,market,38,0.11
2014-12,trade,4,0.11
2015-01,interest,8,0.11
2015-01,inflation,5,0.11
2015-01,unemployment,1,0.11
2015-01,credit,29,0.11
2015-01,market,29,0.11
2015-01,trade,2,0.11
2015-03,interest,13,0.12
2015-03,inflation,5,0.12
2015-03,unemployment,1,0.12
2015-03,credit,28,0.12
2015-03,market,28,0.12
2015-03,trade,4,0.12
2015-04,interest,10,0.12
2015-04,inflation,4,0.12
2015-04,unemployment,1,0.12
2015-04,credit,24,0.12
2015-04,market,26,0.12
2015-04,trade,3,0.12
2015-06,interest,10,0.13
2015-06,inflation,3,0.13
2015-06,unemployment,0,0.13
2015-06,credit,33,0.13
2015-06,market,37,0.13
2015-06,trade,3,0.13
2015-07,interest,11,0.14
2015-07,inflation,4,0.14
2015-07,unemployment,0,0.14
2015-07,credit,20,0.14
2015-07,market,30,0.14
2015-07,trade,4,0.14
2015-09,interest,9,0.12
2015-09,inflation,2,0.12
2015-09,unemployment,0,0.12
2015-09,credit,32,0.12
2015-09,market,35,0.12
2015-09,trade,5,0.12
2015-10,interest,7,0.12
2015-10,inflation,3,0.12
2015-10,unemployment,0,0.12
2015-10,credit,18,0.12
2015-10,market,33,0.12
2015-10,trade,4,0.12
2015-12,interest,14,0.34
2015-12,inflation,6,0.34
2015-12,unemployment,0,0.34
2015-12,credit,24,0.34
2015-12,market,29,0.34
2015-12,trade,4,0.34
2016-01,interest,12,0.38
2016-01,inflation,5,0.38
2016-01,unemployment,0,0.38
2016-01,credit,22,0.38
2016-01,market,35,0.38
2016-01,trade,4,0.38
2016-03,interest,9,0.37
2016-03,inflation,7,0.37
2016-03,unemployment,1,0.37
2016-03,credit,24,0.37
2016-03,market,44,0.37
2016-03,trade,7,0.37
2016-04,interest,8,0.37
2016-04,inflation,5,0.37
2016-04,unemployment,0,0.37
2016-04,credit,27,0.37
2016-04,market,28,0.37
2016-04,trade,7,0.37
2016-06,interest,6,0.39
2016-06,inflation,7,0.39
2016-06,unemployment,1,0.39
2016-06,credit,27,0.39
2016-06,market,27,0.39
2016-06,trade,5,0.39
2016-07,interest,8,0.4
2016-07,inflation,7,0.4
2016-07,unemployment,0,0.4
2016-07,credit,23,0.4
2016-07,market,28,0.4
2016-07,trade,3,0.4
2016-09,interest,6,0.4
2016-09,inflation,5,0.4
2016-09,unemployment,2,0.4
2016-09,credit,26,0.4
2016-09,market,37,0.4
2016-09,trade,5,0.4
2016-10,interest,6,0.41
2016-10,inflation,3,0.41
2016-10,unemployment,1,0.41
2016-10,credit,19,0.41
2016-10,market,28,0.41
2016-10,trade,5,0.41
2016-11,interest,9,0.54
2016-11,inflation,4,0.54
2016-11,unemployment,1,0.54
2016-11,credit,23,0.54
2016-11,market,28,0.54
2016-11,trade,8,0.54
2017-01,interest,7,0.66
2017-01,inflation,3,0.66
2017-01,unemployment,2,0.66
2017-01,credit,13,0.66
2017-01,market,30,0.66
2017-01,trade,5,0.66
2017-03,interest,5,0.9
2017-03,inflation,5,0.9
2017-03,unemployment,1,0.9
2017-03,credit,12,0.9
2017-03,market,26,0.9
2017-03,trade,8,0.9
2017-04,interest,5,0.91
2017-04,inflation,3,0.91
2017-04,unemployment,1,0.91
2017-04,credit,13,0.91
2017-04,market,23,0.91
2017-04,trade,7,0.91
2017-05,interest,3,1.04
2017-05,inflation,3,1.04
2017-05,unemployment,3,1.04
2017-05,credit,22,1.04
2017-05,market,25,1.04
2017-05,trade,8,1.04
2017-07,interest,3,1.16
2017-07,inflation,4,1.16
2017-07,unemployment,2,1.16
2017-07,credit,20,1.16
2017-07,market,24,1.16
2017-07,trade,8,1.16
2017-09,interest,3,1.15
2017-09,inflation,6,1.15
2017-09,unemployment,1,1.15
2017-09,credit,9,1.15
2017-09,market,21,1.15
2017-09,trade,5,1.15
2017-10,interest,2,1.16
2017-10,inflation,4,1.16
2017-10,unemployment,0,1.16
2017-10,credit,15,1.16
2017-10,market,24,1.16
2017-10,trade,8,1.16
2017-11,interest,3,1.3
2017-11,inflation,4,1.3
2017-11,unemployment,2,1.3
2017-11,credit,18,1.3
2017-11,market,26,1.3
2017-11,trade,6,1.3
2018-01,interest,4,1.42
2018-01,inflation,5,1.42
2018-01,unemployment,0,1.42
2018-01,credit,12,1.42
2018-01,market,28,1.42
2018-01,trade,9,1.42
2018-03,interest,5,1.69
2018-03,inflation,3,1.69
2018-03,unemployment,2,1.69
2018-03,credit,15,1.69
2018-03,market,37,1.69
2018-03,trade,4,1.69
2018-04,interest,5,1.7
2018-04,inflation,5,1.7
2018-04,unemployment,2,1.7
2018-04,credit,11,1.7
2018-04,market,20,1.7
2018-04,trade,11,1.7
2018-05,interest,7,1.82
2018-05,inflation,9,1.82
2018-05,unemployment,1,1.82
2018-05,credit,10,1.82
2018-05,market,20,1.82
2018-05,trade,12,1.82
2018-07,interest,10,1.91
2018-07,inflation,11,1.91
2018-07,unemployment,2,1.91
2018-07,credit,8,1.91
2018-07,market,26,1.91
2018-07,trade,20,1.91
2018-09,interest,12,2.19
2018-09,inflation,7,2.19
2018-09,unemployment,2,2.19
2018-09,credit,11,2.19
2018-09,market,27,2.19
2018-09,trade,20,2.19
2018-10,interest,12,2.2
2018-10,inflation,4,2.2
2018-10,unemployment,1,2.2
2018-10,credit,12,2.2
2018-10,market,17,2.2
2018-10,trade,19,2.2
2018-12,interest,20,2.4
2018-12,inflation,3,2.4
2018-12,unemployment,3,2.4
2018-12,credit,17,2.4
2018-12,market,36,2.4
2018-12,trade,8,2.4
2019-01,interest,17,2.4
2019-01,inflation,6,2.4
2019-01,unemployment,1,2.4
2019-01,credit,8,2.4
2019-01,market,31,2.4
2019-01,trade,16,2.4
2019-03,interest,10,2.42
2019-03,inflation,5,2.42
2019-03,unemployment,2,2.42
2019-03,credit,15,2.42
2019-03,market,28,2.42
2019-03,trade,20,2.42
2019-04,interest,6,2.39
2019-04,inflation,7,2.39
2019-04,unemployment,1,2.39
2019-04,credit,12,2.39
2019-04,market,26,2.39
2019-04,trade,13,2.39
2019-06,interest,11,2.4
2019-06,inflation,11,2.4
2019-06,unemployment,3,2.4
2019-06,credit,16,2.4
2019-06,market,28,2.4
2019-06,trade,19,2.4
2019-07,interest,3,2.13
2019-07,inflation,8,2.13
2019-07,unemployment,1,2.13
2019-07,credit,7,2.13
2019-07,market,23,2.13
2019-07,trade,17,2.13
2019-09,interest,10,1.83
2019-09,inflation,5,1.83
2019-09,unemployment,2,1.83
2019-09,credit,8,1.83
2019-09,market,38,1.83
2019-09,trade,28,1.83
2019-10,interest,6,1.55
2019-10,inflation,4,1.55
2019-10,unemployment,1,1.55
2019-10,credit,4,1.55
2019-10,market,26,1.55
2019-10,trade,22,1.55
2019-11,interest,5,1.55
2019-11,inflation,8,1.55
2019-11,unemployment,1,1.55
2019-11,credit,12,1.55
2019-11,market,31,1.55
2019-11,trade,27,1.55
2020-01,interest,4,1.58
2020-01,inflation,4,1.58
2020-01,unemployment,1,1.58
2020-01,credit,8,1.58
2020-01,market,33,1.58
2020-01,trade,27,1.58
2020-03,interest,9,0.05
2020-03,inflation,11,0.05
2020-03,unemployment,1,0.05
2020-03,credit,13,0.05
2020-03,market,28,0.05
2020-03,trade,15,0.05
2020-04,interest,1,0.05
2020-04,inflation,5,0.05
2020-04,unemployment,4,0.05
2020-04,credit,17,0.05
2020-04,market,14,0.05
2020-04,trade,10,0.05
2020-05,interest,2,0.08
2020-05,inflation,4,0.08
2020-05,unemployment,12,0.08
2020-05,credit,17,0.08
2020-05,market,15,0.08
2020-05,trade,8,0.08
2020-07,interest,8,0.1
2020-07,inflation,0,0.1
2020-07,unemployment,13,0.1
2020-07,credit,12,0.1
2020-07,market,17,0.1
2020-07,trade,6,0.1
2020-09,interest,7,0.09
2020-09,inflation,2,0.09
2020-09,unemployment,6,0.09
2020-09,credit,8,0.09
2020-09,market,18,0.09
2020-09,trade,3,0.09
2020-10,interest,5,0.09
2020-10,inflation,4,0.09
2020-10,unemployment,5,0.09
2020-10,credit,5,0.09
2020-10,market,14,0.09
2020-10,trade,4,0.09
2020-12,interest,9,0.09
2020-12,inflation,4,0.09
2020-12,unemployment,8,0.09
2020-12,credit,7,0.09
2020-12,market,16,0.09
2020-12,trade,6,0.09
2021-01,interest,5,0.08
2021-01,inflation,6,0.08
2021-01,unemployment,2,0.08
2021-01,credit,7,0.08
2021-01,market,23,0.08
2021-01,trade,6,0.08
2021-03,interest,7,0.07
2021-03,inflation,6,0.07
2021-03,unemployment,5,0.07
2021-03,credit,3,0.07
2021-03,market,15,0.07
2021-03,trade,4,0.07
2021-04,interest,5,0.06
2021-04,inflation,6,0.06
2021-04,unemployment,3,0.06
2021-04,credit,2,0.06
2021-04,market,7,0.06
2021-04,trade,2,0.06
2021-06,interest,3,0.1
2021-06,inflation,4,0.1
2021-06,unemployment,6,0.1
2021-06,credit,7,0.1
2021-06,market,20,0.1
2021-06,trade,5,0.1
2021-07,interest,4,0.09
2021-07,inflation,3,0.09
2021-07,unemployment,4,0.09
2021-07,credit,9,0.09
2021-07,market,23,0.09
2021-07,trade,5,0.09
2021-09,interest,4,0.08
2021-09,inflation,3,0.08
2021-09,unemployment,8,0.08
2021-09,credit,6,0.08
2021-09,market,17,0.08
2021-09,trade,4,0.08
2021-10,interest,3,0.08
2021-10,inflation,0,0.08
2021-10,unemployment,6,0.08
2021-10,credit,6,0.08
2021-10,market,21,0.08
2021-10,trade,2,0.08
2021-12,interest,7,0.08
2021-12,inflation,1,0.08
2021-12,unemployment,1,0.08
2021-12,credit,5,0.08
2021-12,market,11,0.08
2021-12,trade,2,0.08
2022-01,interest,3,0.08
2022-01,inflation,2,0.08
2022-01,unemployment,0,0.08
2022-01,credit,6,0.08
2022-01,market,15,0.08
2022-01,trade,2,0.08
2022-03,interest,5,0.33
2022-03,inflation,9,0.33
2022-03,unemployment,0,0.33
2022-03,credit,10,0.33
2022-03,market,30,0.33
2022-03,trade,4,0.33
2022-04,interest,9,0.77
2022-04,inflation,12,0.77
2022-04,unemployment,0,0.77
2022-04,credit,7,0.77
2022-04,market,20,0.77
2022-04,trade,2,0.77
2022-06,interest,21,1.68
2022-06,inflation,19,1.68
2022-06,unemployment,0,1.68
2022-06,credit,10,1.68
2022-06,market,36,1.68
2022-06,trade,3,1.68
2022-07,interest,26,2.33
2022-07,inflation,15,2.33
2022-07,unemployment,1,2.33
2022-07,credit,8,2.33
2022-07,market,22,2.33
2022-07,trade,4,2.33
2022-09,interest,21,3.08
2022-09,inflation,16,3.08
2022-09,unemployment,1,3.08
2022-09,credit,10,3.08
2022-09,market,22,3.08
2022-09,trade,3,3.08
2022-10,interest,22,3.78
2022-10,inflation,19,3.78
2022-10,unemployment,0,3.78
2022-10,credit,3,3.78
2022-10,market,22,3.78
2022-10,trade,2,3.78
2022-11,interest,13,4.1
2022-11,inflation,13,4.1
2022-11,unemployment,1,4.1
2022-11,credit,6,4.1
2022-11,market,23,4.1
2022-11,trade,3,4.1
2023-01,interest,12,4.57
2023-01,inflation,14,4.57
2023-01,unemployment,2,4.57
2023-01,credit,2,4.57
2023-01,market,15,4.57
2023-01,trade,2,4.57
2023-03,interest,29,4.83
2023-03,inflation,9,4.83
2023-03,unemployment,1,4.83
2023-03,credit,15,4.83
2023-03,market,30,4.83
2023-03,trade,2,4.83
2023-04,interest,21,5.06
2023-04,inflation,12,5.06
2023-04,unemployment,2,5.06
2023-04,credit,12,5.06
2023-04,market,24,5.06
2023-04,trade,2,5.06
2023-05,interest,29,5.08
2023-05,inflation,12,5.08
2023-05,unemployment,2,5.08
2023-05,credit,20,5.08
2023-05,market,28,5.08
2023-05,trade,3,5.08
2023-07,interest,20,5.33
2023-07,inflation,7,5.33
2023-07,unemployment,2,5.33
2023-07,credit,17,5.33
2023-07,market,20,5.33
2023-07,trade,7,5.33
